age,educ,black,hisp,marr,nodegree,re74,re75,re78,treat,source
49,10,0,0,1,1,391.853,0,0,0,CPS
17,10,0,0,0,1,0,0,4755.32,0,CPS
29,14,0,0,1,0,21499,22586.7,20923.1,0,CPS
28,16,0,0,1,0,16500.9,0,10267.2,0,CPS
46,12,0,0,1,0,24814.1,24967.8,19339,0,CPS
26,17,1,0,1,0,0,0,4753.85,0,CPS
49,12,0,0,0,0,25862.3,25243.6,25564.7,0,CPS
51,10,0,0,1,1,25862.3,25243.6,25564.7,0,CPS
51,10,0,0,1,1,22923.4,21725.6,10348.5,0,CPS
27,11,0,0,1,1,17022.1,18123.4,18490.8,0,CPS
23,13,0,0,0,0,19098.9,21014.8,0,0,CPS
27,10,0,0,1,1,7952.66,9755.47,13106,0,CPS
38,10,0,0,1,1,25862.3,25243.6,25564.7,0,CPS
32,8,0,0,0,1,7186.59,6149.76,8414.17,0,CPS
34,14,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
26,18,0,0,1,0,20972,21883.1,25564.7,0,CPS
21,13,0,0,0,0,8638.41,8176.4,6753.21,0,CPS
39,8,0,1,0,1,13499.3,16383.2,16461.9,0,CPS
17,8,1,0,0,1,0,451.161,0,0,CPS
22,11,0,1,1,1,17466.9,17779.7,14438.9,0,CPS
21,12,0,1,0,0,0,0,0,0,CPS
44,9,0,1,1,1,15390,14886.5,12634.6,0,CPS
26,10,0,1,1,1,17125.9,17446.7,13518.2,0,CPS
54,4,0,1,1,1,13350.4,13180.3,13741.4,0,CPS
42,12,0,1,1,0,21663.6,22013.8,19941.9,0,CPS
25,12,0,0,0,0,8105.49,11869.8,6170.99,0,CPS
20,13,0,0,0,0,317.401,214.839,0,0,CPS
44,11,0,0,1,1,25862.3,25243.6,25564.7,0,CPS
33,12,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
40,12,0,0,1,0,25862.3,14494.5,25564.7,0,CPS
25,16,0,0,1,0,21048.4,22916.1,23574.2,0,CPS
33,12,0,0,0,0,12694.1,13046.1,11264.7,0,CPS
52,13,1,0,0,0,19827.8,19668.5,18437.6,0,CPS
54,14,0,0,1,0,24686.8,25243.6,25564.7,0,CPS
27,15,0,0,0,0,19200.8,19303.3,18207.1,0,CPS
51,10,0,0,1,1,7488.32,7888.16,6148.82,0,CPS
42,12,0,0,1,0,6502.81,15241,15468.8,0,CPS
50,10,0,0,1,1,25862.3,25243.6,25564.7,0,CPS
47,10,0,0,1,1,15282.3,13964.5,9043.69,0,CPS
28,12,0,0,1,0,24224.4,11019.4,20055.7,0,CPS
33,12,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
33,13,0,0,1,0,21146.4,18732.2,22254.6,0,CPS
55,16,0,0,1,0,25862.3,24627.7,25564.7,0,CPS
38,12,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
39,16,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
27,17,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
16,9,0,0,0,1,378.138,467.274,4306.1,0,CPS
35,12,0,0,1,0,6645.83,3331.79,0,0,CPS
35,12,0,0,1,0,22421.8,21093.6,23590.4,0,CPS
45,12,0,0,1,0,25862.3,25243.6,0,0,CPS
51,11,0,0,1,1,18270.2,21637.8,20267,0,CPS
27,16,0,0,0,0,11316.7,1761.68,5532.61,0,CPS
28,14,0,0,1,0,0,0,18719.8,0,CPS
35,18,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
39,10,0,0,1,1,18534.7,0,21496.5,0,CPS
33,12,0,0,0,0,25862.3,25243.6,25564.7,0,CPS
52,16,0,0,1,0,25862.3,25241.8,12429.2,0,CPS
22,13,0,0,0,0,5023.56,6819.34,13943.8,0,CPS
25,12,0,0,1,0,20070.7,11117.9,19003.6,0,CPS
28,16,0,0,1,0,25014,22710.2,0,0,CPS
27,16,0,0,1,0,16888.9,16200.6,17295.3,0,CPS
30,13,0,0,0,0,8362.15,7990.21,8590.03,0,CPS
28,15,0,0,0,0,9672.9,8085.1,14348.7,0,CPS
24,12,0,0,1,0,19083.3,18270.2,22261.9,0,CPS
29,11,1,0,0,1,14743.5,14954.6,13714.8,0,CPS
49,7,1,0,0,1,16444.1,16028.8,15965.4,0,CPS
22,12,0,0,1,0,13352.4,14358.4,17051.5,0,CPS
30,16,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
45,12,0,0,1,0,24185.2,25243.6,0,0,CPS
44,12,0,0,1,0,24669.1,24418.2,25564.7,0,CPS
21,12,0,0,0,0,11465.6,1953.24,25564.7,0,CPS
26,13,0,0,1,0,11661.6,4142.81,18650.4,0,CPS
25,16,0,0,1,0,18822.7,20112.5,20986.7,0,CPS
45,8,0,0,1,1,16883,15316.2,17010.1,0,CPS
19,9,0,0,0,1,3311.16,10525.3,1693.47,0,CPS
55,9,0,0,1,1,12609.8,12349.7,12201.6,0,CPS
22,12,0,0,1,0,12423.7,13035.3,17483,0,CPS
37,18,0,0,1,0,0,16735.9,25564.7,0,CPS
38,12,0,0,1,0,25862.3,25243.6,25298.7,0,CPS
29,13,0,0,1,0,17962.6,11590.5,2639.22,0,CPS
43,8,0,0,1,1,21044.5,25243.6,1301.88,0,CPS
51,10,0,0,1,1,25862.3,19817.1,4.43318,0,CPS
25,14,0,0,1,0,11769.3,11624.6,13903.9,0,CPS
52,12,0,0,1,0,20776.1,20808.9,10394.3,0,CPS
26,14,0,0,1,0,22886.2,24523.8,25564.7,0,CPS
37,18,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
36,12,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
27,14,0,0,1,0,6395.05,18513.7,21258.6,0,CPS
21,11,0,0,1,1,20817.2,25243.6,25564.7,0,CPS
44,12,0,0,1,0,22686.3,0,19081.9,0,CPS
49,17,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
32,0,0,0,0,1,4559.21,3976.31,7246.77,0,CPS
23,12,0,0,1,0,16593,17622.2,22872.2,0,CPS
46,12,0,0,1,0,18636.6,18214.7,20485.7,0,CPS
17,10,0,0,0,1,0,1536.1,19808.9,0,CPS
26,12,0,0,1,0,19067.6,24849.7,22545.7,0,CPS
27,12,0,0,1,0,19637.7,8178.19,25564.7,0,CPS
30,15,0,0,1,0,23871.7,25243.6,25564.7,0,CPS
23,12,0,0,0,0,23826.6,24942.8,25523.3,0,CPS
22,12,0,0,1,0,13540.5,21766.7,25564.7,0,CPS
30,18,0,0,1,0,23127.2,23580.3,25564.7,0,CPS
32,14,0,0,1,0,20145.2,15941,25564.7,0,CPS
27,14,0,0,0,0,15576.2,24706.4,25564.7,0,CPS
18,12,0,0,0,0,4729.67,3328.21,12602,0,CPS
33,18,0,0,0,0,0,0,25564.7,0,CPS
22,11,0,0,0,1,5325.29,1061.66,0,0,CPS
23,16,0,0,0,0,2358.96,0,3270.21,0,CPS
51,10,0,0,1,1,19030.4,17532.6,0,0,CPS
21,15,0,0,0,0,2470.64,5116.74,10890.8,0,CPS
18,12,0,0,0,0,9065.53,9338.32,7972.33,0,CPS
53,10,0,0,1,1,0,0,0,0,CPS
21,12,0,0,0,0,4055.68,1867.31,0,0,CPS
32,16,0,0,1,0,22525.7,22712,25564.7,0,CPS
41,12,0,0,1,0,25862.3,24745.8,25564.7,0,CPS
48,12,0,0,0,0,25862.3,25243.6,25564.7,0,CPS
25,18,0,0,0,0,2351.12,211.258,25564.7,0,CPS
23,16,0,0,0,0,913.018,8675.9,14266,0,CPS
30,12,0,0,1,0,0,0,0,0,CPS
22,12,0,0,1,0,1806.44,7114.74,0,0,CPS
44,10,0,0,1,1,5940.5,2739.19,2167.82,0,CPS
17,11,0,0,0,1,2447.12,3267.34,7942.78,0,CPS
23,12,0,0,0,0,331.116,0,594.046,0,CPS
47,8,0,0,1,1,25168.7,22651.2,24401.7,0,CPS
54,12,0,0,1,0,0,0,0,0,CPS
49,8,0,0,1,1,11408.8,3709.55,19136.6,0,CPS
36,18,0,0,1,0,23742.4,25243.6,25564.7,0,CPS
33,14,0,0,1,0,24951.3,23277.8,25564.7,0,CPS
43,15,0,0,1,0,19386.9,25207.7,22579.7,0,CPS
37,10,0,0,0,1,17235.7,18397.3,0,0,CPS
48,12,0,0,0,0,16536.2,16605.2,16713.1,0,CPS
54,12,0,0,0,0,0,0,0,0,CPS
28,16,0,0,0,0,92.0855,0,626.556,0,CPS
35,3,0,0,1,1,19620.1,20361.3,15347.7,0,CPS
55,12,0,0,1,0,14696.5,3134.85,0,0,CPS
53,7,0,0,1,1,22308.2,21521.5,10159.4,0,CPS
25,12,0,0,1,0,19888.5,17756.4,14422.6,0,CPS
30,8,0,0,1,1,18691.4,15543.6,22984.6,0,CPS
44,5,0,0,0,1,12764.6,9442.16,6224.18,0,CPS
44,6,0,0,1,1,25862.3,15217.7,25564.7,0,CPS
20,10,0,0,0,1,3814.69,5234.9,5021.31,0,CPS
49,9,0,0,1,1,17147.5,12747.1,12683.3,0,CPS
55,8,0,0,1,1,5619.18,5449.74,23559.4,0,CPS
51,16,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
24,16,0,0,0,0,9692.49,16012.7,7326.57,0,CPS
54,10,0,0,1,1,25055.1,25243.6,22154.1,0,CPS
32,16,1,0,0,0,17135.8,1031.23,0,0,CPS
19,4,0,1,1,1,2298.22,1786.74,11607.5,0,CPS
36,18,0,0,0,0,0,0,0,0,CPS
55,10,0,0,1,1,0,0,0,0,CPS
25,12,0,0,1,0,8679.55,17666.9,17465.2,0,CPS
26,18,0,0,1,0,0,8414.52,22867.8,0,CPS
19,13,0,0,0,0,5060.79,5182.98,16382.1,0,CPS
52,11,0,0,1,1,25862.3,25243.6,23290.4,0,CPS
19,12,0,0,0,0,4335.86,4687.06,21407.8,0,CPS
17,11,0,0,0,1,43.1039,0,14911.7,0,CPS
23,10,0,0,1,1,10595.7,1462.69,11861.7,0,CPS
44,12,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
28,12,0,0,1,0,13095.7,4998.58,9376.17,0,CPS
49,8,0,0,1,1,17911.6,23684.2,9464.84,0,CPS
54,10,0,0,1,1,14522.1,8738.57,8486.58,0,CPS
22,11,0,0,0,1,5656.4,0,3895.29,0,CPS
33,13,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
40,12,0,0,0,0,20468.5,6205.26,22680.2,0,CPS
47,12,0,0,1,0,25862.3,20522.5,24505.1,0,CPS
21,12,0,0,0,0,9792.42,2169.87,14998.9,0,CPS
17,10,0,0,0,1,0,0,1384.63,0,CPS
16,9,0,0,0,1,0,1346.32,6705.92,0,CPS
40,12,0,0,1,0,15435.1,12927.9,13061.6,0,CPS
36,12,0,0,1,0,25241.2,25243.6,25564.7,0,CPS
51,12,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
46,9,0,0,1,1,25062.9,25166.6,25097.7,0,CPS
33,18,0,0,1,0,23421.1,25243.6,18505.6,0,CPS
28,13,0,0,1,0,24771,21333.5,14323.6,0,CPS
27,11,0,0,1,1,14267.4,12829.5,18693.2,0,CPS
33,12,0,0,0,0,25862.3,25243.6,21944.2,0,CPS
26,12,0,0,1,0,16822.3,19978.2,20015.8,0,CPS
24,12,0,0,1,0,16103.2,8922.97,16470.7,0,CPS
28,8,0,0,1,1,16450,18300.7,23494.4,0,CPS
36,12,0,0,1,0,23912.8,23274.2,25378.5,0,CPS
42,12,0,0,1,0,21473.6,22060.3,23426.4,0,CPS
16,10,0,0,0,1,0,0,1399.41,0,CPS
53,14,0,0,1,0,22995.9,16304.5,0,0,CPS
52,10,0,0,1,1,17329.7,16193.5,20247.8,0,CPS
22,12,0,0,0,0,0,0,0,0,CPS
55,14,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
26,14,0,0,1,0,9927.61,13397,10757.8,0,CPS
38,12,0,0,1,0,2400.1,0,0,0,CPS
43,12,0,0,1,0,14328.1,3453.53,18781.9,0,CPS
55,7,0,0,1,1,18660.1,16768.2,19438,0,CPS
49,10,0,0,1,1,24083.3,22758.6,25232.2,0,CPS
20,12,0,0,0,0,9578.86,15728,18666.6,0,CPS
18,10,0,0,0,1,0,0,6478.35,0,CPS
31,16,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
54,18,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
28,12,0,0,1,0,20676.1,4072.98,17289.4,0,CPS
24,12,0,0,1,0,18979.4,20959.3,17657.3,0,CPS
21,8,0,0,0,1,18432.8,6778.16,9376.17,0,CPS
39,8,0,0,1,1,24163.6,20937.8,25564.7,0,CPS
28,12,0,0,1,0,23570,21926.1,25564.7,0,CPS
40,12,0,0,1,0,25862.3,25243.6,23654,0,CPS
38,7,0,0,1,1,22306.2,18866.4,22192.5,0,CPS
16,10,0,0,0,1,0,520.984,9925.89,0,CPS
43,12,0,0,1,0,0,0,0,0,CPS
49,12,0,0,1,0,24812.2,23202.6,21153.7,0,CPS
28,14,0,0,0,0,19316.4,18626.5,20002.5,0,CPS
22,12,0,0,0,0,15341.1,14904.4,25564.7,0,CPS
39,12,0,0,1,0,7455.01,8512.98,9862.35,0,CPS
27,16,0,0,1,0,21062.1,24824.6,12514.9,0,CPS
21,12,0,0,0,0,15658.5,8115.53,15937.3,0,CPS
48,11,0,0,1,1,25862.3,25243.6,23724.9,0,CPS
30,12,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
20,12,0,0,1,0,11510.7,8185.35,10026.4,0,CPS
20,13,0,0,0,0,0,630.193,13858.1,0,CPS
18,12,0,0,0,0,658.314,1432.26,0,0,CPS
23,12,0,1,0,0,5817.06,18105.5,8876.7,0,CPS
33,12,0,0,1,0,18303.5,13875,12640.5,0,CPS
31,12,0,0,1,0,21610.7,21537.6,25564.7,0,CPS
28,12,1,0,0,0,4700.28,0,731.475,0,CPS
30,14,0,0,0,0,0,0,0,0,CPS
23,13,1,0,0,0,172.415,272.129,582.224,0,CPS
38,12,0,0,1,0,10384.1,11637.1,15959.5,0,CPS
37,12,1,0,1,0,18826.6,21573.4,18148,0,CPS
16,10,0,0,0,1,658.314,630.193,5127.71,0,CPS
18,10,0,0,0,1,0,2474.23,0,0,CPS
47,9,0,0,1,1,19978.6,19203,23970.2,0,CPS
17,9,0,0,0,1,0,3992.42,10248,0,CPS
35,12,1,0,1,0,17241.6,15717.2,18050.4,0,CPS
19,7,0,1,0,1,1250.01,0,8199.91,0,CPS
36,9,1,0,1,1,18905,18938,10997.2,0,CPS
41,8,0,0,1,1,0,0,0,0,CPS
54,12,0,0,1,0,0,0,0,0,CPS
51,18,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
55,15,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
29,16,0,0,1,0,1657.54,5129.27,8808.73,0,CPS
46,16,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
30,14,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
28,14,1,0,1,0,23039,22576,23093.9,0,CPS
48,12,1,0,1,0,24196.9,22110.5,21899.9,0,CPS
26,11,1,0,0,1,20834.8,19444.7,21891,0,CPS
32,12,0,0,1,0,25862.3,25243.6,23587.5,0,CPS
50,12,0,0,1,0,0,0,0,0,CPS
20,11,0,0,0,1,11207,12424.8,13012.9,0,CPS
21,12,0,0,0,0,11647.8,14832.8,20666,0,CPS
20,9,0,0,0,1,4298.63,8797.64,8962.41,0,CPS
32,4,0,1,0,1,14819.9,15457.7,12033.1,0,CPS
46,12,0,0,1,0,0,0,0,0,CPS
18,12,0,0,0,0,2360.92,1752.73,2748.57,0,CPS
51,12,0,0,1,0,22355.2,21793.6,3251,0,CPS
32,15,0,0,1,0,25862.3,25243.6,25564.7,0,CPS
26,16,0,0,1,0,8375.87,10607.7,4047.49,0,CPS
24,15,0,0,0,0,1058,0,9436.76,0,CPS
46,8,0,0,1,1,24001,23990.3,3923.36,0,CPS
21,16,0,0,0,0,0,0,20669,0,CPS
32,16,0,0,1,0,25033.6,25243.6,25564.7,0,CPS
30,18,0,0,0,0,25862.3,9657,7725.56,0,CPS
25,18,0,0,1,0,5364.47,8772.58,25564.7,0,CPS
51,12,0,0,1,0,20754.5,19199.4,22566.4,0,CPS
