user_id,total_sessions_before_idle,sessions_in_last_30d_before_idle,days_idle,last_paid_plan,favorite_category,account_age_years,device_type,acquisition_channel,comeback_trigger_campaign,made_repeat_purchase_in_7d,used_new_feature_in_7d,churn_within_30d
89,56,4,60,Paid,Sports,3.93,Mobile,Organic,0,0,0,0
90,37,2,286,Free,Fashion,5.28,Mobile,Organic,0,0,0,0
91,88,10,96,Free,Books,4.26,Mobile,Referral,1,0,0,0
92,17,2,197,Free,Groceries,1.61,Desktop,Organic,0,0,0,0
93,24,3,60,Paid,Sports,3.85,Mobile,Paid,0,1,0,0
94,23,2,60,Free,Sports,1.0,Mobile,Organic,0,0,1,0
95,8,1,365,Paid,Groceries,4.33,Mobile,Referral,0,0,0,1
96,45,3,165,Paid,Sports,2.75,Mobile,Organic,0,0,0,0
97,43,2,60,Free,Books,1.33,Desktop,Organic,0,0,1,0
98,34,2,365,Paid,Fashion,5.89,Desktop,Paid,0,1,0,0
99,27,1,98,Paid,Fashion,5.46,Mobile,Paid,0,0,1,0
100,9,1,164,Free,Books,5.41,Mobile,Organic,1,0,0,0
101,22,3,157,Free,Electronics,4.84,Desktop,Organic,1,0,1,0
102,24,4,247,Paid,Books,4.31,Mobile,Organic,0,0,0,0
103,15,2,80,Paid,Electronics,4.1,Mobile,Paid,0,0,0,0
104,29,2,97,Free,Sports,1.08,Mobile,Referral,0,0,0,0
105,50,7,365,Free,Electronics,5.45,Mobile,Organic,0,0,0,0
106,219,11,150,Free,Sports,5.35,Desktop,Paid,1,0,1,0
107,40,7,85,Free,Sports,4.61,Mobile,Organic,0,0,0,0
108,43,6,109,Free,Books,5.6,Mobile,Organic,1,0,0,0
109,31,2,169,Paid,Electronics,3.54,Desktop,Organic,0,0,0,0
110,5,1,84,Paid,Groceries,2.96,Mobile,Paid,1,1,0,0
111,33,6,319,Free,Groceries,5.82,Mobile,Organic,0,0,1,0
112,36,6,87,Paid,Electronics,3.05,Desktop,Paid,0,0,0,0
113,389,36,125,Paid,Fashion,4.03,Mobile,Organic,0,1,1,0
114,28,3,109,Free,Electronics,2.55,Mobile,Paid,1,0,0,0
115,45,8,115,Free,Fashion,4.0,Mobile,Paid,1,0,0,0
116,32,5,74,Free,Electronics,4.46,Mobile,Organic,1,0,0,0
117,11,2,174,Paid,Electronics,3.94,Desktop,Paid,0,0,0,0
118,104,19,131,Free,Books,3.33,Mobile,Organic,1,0,1,0
119,71,8,151,Paid,Sports,2.15,Desktop,Organic,0,1,0,0
120,74,13,350,Free,Groceries,4.04,Mobile,Organic,0,0,1,0
121,14,1,60,Free,Sports,5.5,Desktop,Organic,0,0,1,0
122,135,23,82,Free,Groceries,0.54,Mobile,Organic,0,0,1,0
123,9,1,233,Free,Groceries,1.24,Mobile,Organic,0,0,1,0
124,60,8,119,Paid,Electronics,1.16,Desktop,Organic,0,1,0,0
125,297,35,144,Paid,Electronics,5.58,Mobile,Organic,1,0,1,0
126,13,2,92,Free,Groceries,4.15,Mobile,Referral,0,0,0,0
127,19,1,79,Paid,Sports,5.73,Desktop,Paid,0,0,1,0
128,37,7,77,Paid,Books,3.71,Desktop,Organic,1,0,0,0
129,21,2,162,Free,Fashion,3.04,Desktop,Paid,1,1,1,1
130,8,1,365,Paid,Groceries,4.86,Mobile,Paid,1,0,0,1
131,36,6,295,Free,Electronics,1.39,Mobile,Organic,0,0,1,0
132,12,1,112,Free,Fashion,2.6,Mobile,Organic,1,0,1,0
133,54,10,60,Free,Groceries,3.06,Mobile,Referral,0,0,0,0
134,14,1,268,Paid,Books,2.14,Mobile,Paid,1,1,0,0
135,157,21,153,Free,Groceries,2.54,Mobile,Paid,0,0,1,0
136,16,3,365,Paid,Sports,0.93,Mobile,Paid,0,1,0,0
137,24,4,183,Paid,Books,1.59,Mobile,Paid,0,0,0,0
138,75,6,118,Free,Books,2.35,Mobile,Paid,1,0,1,0
139,10,1,101,Free,Electronics,4.88,Mobile,Paid,0,0,0,0
140,42,6,60,Free,Electronics,1.5,Desktop,Paid,0,0,0,0
141,123,23,126,Free,Groceries,2.41,Mobile,Organic,1,0,1,0
142,7,1,239,Free,Electronics,0.86,Mobile,Paid,1,0,0,0
143,40,6,60,Free,Fashion,3.56,Mobile,Paid,1,0,0,0
144,43,2,365,Free,Fashion,3.86,Mobile,Organic,0,1,0,0
145,73,9,60,Free,Books,5.26,Mobile,Organic,0,0,1,0
146,10,1,80,Free,Books,5.01,Mobile,Referral,0,0,0,0
147,9,1,171,Free,Groceries,2.07,Mobile,Referral,0,0,0,0
148,56,4,60,Paid,Books,1.25,Desktop,Paid,0,0,0,0
149,45,3,118,Paid,Fashion,1.36,Mobile,Organic,1,1,0,0
150,43,8,148,Free,Books,5.83,Mobile,Organic,0,0,0,0
151,47,4,166,Free,Sports,4.2,Mobile,Organic,0,0,0,0
152,17,2,98,Free,Fashion,0.73,Desktop,Paid,1,0,0,0
153,42,2,60,Free,Groceries,1.25,Mobile,Paid,0,0,0,0
154,45,7,317,Free,Books,3.17,Desktop,Referral,1,0,1,0
155,17,2,184,Paid,Groceries,1.64,Desktop,Referral,1,1,0,0
156,214,18,166,Paid,Fashion,4.92,Mobile,Organic,0,1,1,0
157,54,2,93,Free,Sports,3.65,Mobile,Organic,0,0,0,0
158,11,1,210,Paid,Books,3.87,Mobile,Referral,0,1,0,0
159,64,9,60,Free,Groceries,3.05,Mobile,Referral,1,0,0,0
160,13,1,365,Free,Fashion,1.91,Mobile,Organic,0,0,1,0
161,73,4,89,Free,Groceries,3.74,Desktop,Organic,0,0,1,0
162,106,11,226,Free,Groceries,4.44,Mobile,Paid,1,0,0,0
163,15,1,274,Free,Electronics,2.54,Mobile,Paid,0,0,0,0
164,87,12,150,Free,Electronics,3.28,Mobile,Organic,1,0,1,0
165,51,3,160,Free,Groceries,5.12,Mobile,Organic,0,0,1,0
166,76,15,132,Free,Fashion,1.32,Desktop,Paid,1,1,0,0
167,221,25,260,Paid,Groceries,3.5,Mobile,Organic,0,0,0,0
168,26,1,88,Paid,Fashion,2.42,Mobile,Referral,1,1,1,0
169,16,1,203,Free,Fashion,4.37,Mobile,Organic,1,1,0,1
170,14,1,141,Free,Groceries,0.6,Desktop,Paid,1,0,1,1
171,15,2,322,Free,Fashion,4.19,Mobile,Paid,1,0,1,1
172,31,3,306,Paid,Sports,1.07,Mobile,Organic,0,0,0,0
173,47,3,92,Free,Sports,0.86,Desktop,Organic,0,0,1,0
174,44,5,258,Free,Books,4.49,Desktop,Paid,1,0,1,0
175,76,7,181,Free,Groceries,4.02,Mobile,Organic,0,0,1,0
176,34,4,136,Free,Sports,5.42,Mobile,Organic,1,0,0,0
177,142,15,248,Free,Electronics,3.36,Desktop,Organic,0,0,1,0
178,26,3,218,Paid,Groceries,3.42,Desktop,Organic,0,1,0,0
179,503,85,99,Paid,Fashion,4.39,Mobile,Referral,0,0,1,0
180,62,11,60,Free,Electronics,2.28,Mobile,Paid,1,0,0,0
181,15,2,67,Free,Books,0.7,Mobile,Organic,0,0,1,0
182,12,1,82,Free,Groceries,1.77,Mobile,Referral,0,0,0,0
183,54,6,116,Free,Fashion,1.81,Mobile,Organic,0,0,0,0
184,27,3,168,Paid,Electronics,2.35,Mobile,Organic,0,0,0,0
185,68,5,142,Free,Books,5.69,Desktop,Organic,0,0,0,0
186,54,8,60,Free,Electronics,4.93,Mobile,Paid,0,0,1,0
187,31,4,105,Free,Groceries,5.65,Desktop,Paid,0,0,0,0
188,15,2,365,Paid,Groceries,5.99,Mobile,Organic,0,0,0,0
189,8,1,99,Paid,Fashion,2.89,Mobile,Organic,0,1,0,0
190,22,3,60,Free,Fashion,1.75,Mobile,Paid,1,0,1,0
191,78,6,217,Free,Books,3.58,Mobile,Paid,1,0,0,0
192,42,3,60,Free,Books,5.35,Mobile,Referral,0,0,0,0
193,10,1,188,Paid,Fashion,3.06,Mobile,Organic,0,1,1,0
194,40,4,181,Free,Electronics,3.28,Desktop,Paid,1,0,1,0
195,49,6,168,Free,Electronics,1.24,Mobile,Paid,0,0,0,0
196,14,1,69,Free,Fashion,2.81,Desktop,Paid,0,0,0,0
197,39,3,132,Paid,Books,2.63,Desktop,Organic,1,1,0,1
198,36,6,74,Free,Groceries,2.43,Desktop,Organic,1,0,0,0
199,11,1,70,Free,Books,5.38,Mobile,Paid,0,0,1,0
200,48,8,365,Free,Groceries,0.83,Desktop,Paid,0,0,1,0
201,59,10,219,Paid,Fashion,5.85,Mobile,Organic,1,1,0,0
202,98,10,165,Paid,Electronics,0.55,Desktop,Organic,0,1,0,0
203,95,16,122,Paid,Books,5.7,Mobile,Organic,0,0,0,0
204,9,1,208,Free,Groceries,3.51,Mobile,Organic,0,0,0,0
205,13,1,140,Free,Groceries,4.36,Desktop,Organic,1,0,0,1
206,56,8,214,Paid,Groceries,1.53,Mobile,Organic,0,0,0,0
207,56,4,324,Free,Groceries,4.1,Mobile,Organic,0,0,1,0
208,56,6,178,Paid,Fashion,5.35,Mobile,Organic,1,1,1,0
209,1561,116,70,Paid,Groceries,1.27,Mobile,Paid,0,0,1,0
210,59,6,270,Free,Groceries,1.2,Desktop,Organic,0,0,1,0
211,104,19,121,Free,Sports,2.17,Mobile,Paid,1,0,1,0
212,86,12,157,Paid,Groceries,1.39,Desktop,Organic,0,0,0,0
213,64,4,108,Paid,Groceries,1.11,Mobile,Organic,0,0,0,0
214,25,3,60,Free,Books,4.23,Mobile,Paid,0,0,0,0
215,71,12,233,Free,Sports,1.68,Mobile,Paid,0,0,0,0
216,16,1,292,Free,Sports,4.17,Mobile,Paid,1,0,0,0
217,27,4,155,Free,Groceries,5.24,Desktop,Organic,0,0,0,0
218,21,2,249,Free,Books,4.09,Desktop,Paid,0,0,0,0
219,36,5,85,Free,Fashion,1.16,Mobile,Organic,1,0,1,0
220,336,64,146,Paid,Groceries,3.65,Mobile,Paid,0,0,1,0
221,6,1,76,Paid,Groceries,2.66,Mobile,Organic,1,0,0,0
222,66,9,176,Paid,Groceries,2.39,Mobile,Paid,0,0,0,0
223,7,1,169,Free,Fashion,2.25,Desktop,Paid,1,0,1,1
224,21,3,142,Free,Groceries,5.61,Desktop,Paid,1,0,0,1
225,99,18,154,Paid,Electronics,4.58,Mobile,Referral,0,0,0,0
226,36,2,60,Free,Groceries,1.24,Desktop,Referral,0,0,0,0
227,12,1,88,Free,Fashion,3.12,Mobile,Paid,0,0,0,1
228,17,3,69,Free,Groceries,2.25,Mobile,Referral,1,0,0,0
229,66,12,184,Paid,Electronics,5.88,Desktop,Organic,0,1,1,0
230,16,3,144,Paid,Fashion,5.88,Mobile,Organic,1,0,0,0
231,42,8,60,Free,Books,2.26,Mobile,Paid,1,0,0,0
232,35,4,64,Paid,Fashion,2.44,Mobile,Referral,0,0,0,0
233,18,3,60,Free,Groceries,3.8,Mobile,Paid,1,0,1,0
234,283,52,365,Free,Sports,3.14,Mobile,Organic,1,0,1,0
235,63,4,68,Paid,Sports,1.67,Mobile,Paid,1,0,0,0
236,5,1,193,Paid,Fashion,4.13,Mobile,Organic,0,1,0,0
237,40,6,114,Free,Groceries,2.34,Mobile,Organic,0,0,0,0
238,18,1,60,Free,Electronics,4.1,Mobile,Organic,0,0,0,0
239,78,12,87,Paid,Sports,2.61,Mobile,Organic,0,0,0,0
240,15,1,190,Paid,Groceries,4.35,Mobile,Organic,0,1,0,1
241,30,5,97,Paid,Fashion,4.17,Desktop,Paid,1,0,0,0
242,55,9,214,Free,Electronics,3.3,Desktop,Paid,0,0,1,0
243,79,15,61,Paid,Electronics,4.38,Mobile,Organic,0,0,1,0
244,10,1,131,Paid,Groceries,3.04,Desktop,Organic,1,0,0,0
245,24,3,174,Free,Electronics,1.14,Mobile,Paid,0,0,0,1
246,21,2,79,Paid,Groceries,1.5,Mobile,Referral,0,0,0,1
247,18,2,126,Free,Books,1.85,Mobile,Referral,0,0,1,1
248,194,27,78,Free,Sports,0.85,Mobile,Organic,1,0,1,0
249,50,6,156,Paid,Sports,4.41,Mobile,Organic,0,0,0,0
250,10,1,68,Free,Electronics,2.52,Mobile,Organic,0,0,0,0
251,83,11,106,Free,Groceries,1.01,Mobile,Organic,0,0,0,0
252,277,31,136,Paid,Groceries,5.01,Mobile,Paid,1,0,1,0
253,93,9,129,Free,Sports,4.26,Mobile,Organic,0,0,1,0
254,8,1,150,Free,Fashion,2.99,Mobile,Referral,0,0,0,1
255,21,3,60,Paid,Electronics,1.86,Mobile,Paid,0,0,0,0
256,118,15,234,Free,Electronics,1.33,Mobile,Organic,1,0,1,0
257,17,3,136,Free,Electronics,3.02,Mobile,Paid,0,0,0,0
258,52,4,118,Free,Fashion,5.37,Desktop,Paid,0,0,0,0
259,72,10,60,Free,Books,1.54,Mobile,Paid,1,0,0,0
260,14,2,198,Paid,Groceries,3.63,Mobile,Referral,0,1,0,0
261,32,2,235,Paid,Books,5.79,Mobile,Organic,0,0,0,0
262,2,1,365,Free,Groceries,4.0,Desktop,Paid,0,0,1,0
263,12,1,60,Paid,Fashion,2.92,Mobile,Organic,0,1,0,0
264,26,5,322,Free,Sports,4.44,Mobile,Organic,0,0,1,0
265,10,1,152,Free,Sports,5.04,Mobile,Paid,0,0,0,0
266,170,20,287,Paid,Books,3.75,Mobile,Organic,1,0,1,0
267,8,1,174,Paid,Sports,5.3,Mobile,Organic,1,0,0,0
268,22,2,188,Free,Fashion,3.33,Mobile,Organic,0,0,1,1
269,38,6,310,Free,Groceries,5.07,Mobile,Organic,1,0,1,0
270,140,26,233,Free,Fashion,5.74,Mobile,Paid,1,0,1,0
271,8,1,256,Free,Electronics,3.26,Mobile,Referral,1,0,0,0
272,106,10,119,Free,Electronics,3.83,Desktop,Organic,0,0,0,0
273,34,2,60,Paid,Books,3.85,Mobile,Organic,1,1,0,0
274,13,1,139,Free,Electronics,4.8,Desktop,Organic,1,0,0,1
275,53,6,79,Paid,Books,5.03,Desktop,Organic,0,1,0,0
276,41,6,217,Free,Electronics,0.65,Desktop,Organic,1,0,1,0
277,19,3,147,Free,Sports,4.53,Desktop,Paid,1,0,0,0
278,36,4,127,Free,Books,4.81,Mobile,Referral,0,0,0,0
279,23,2,102,Free,Fashion,4.35,Desktop,Referral,1,0,1,0
280,38,5,200,Paid,Electronics,4.43,Mobile,Organic,0,1,0,0
281,65,11,122,Free,Groceries,0.73,Desktop,Organic,0,0,0,0
282,162,23,139,Free,Electronics,2.93,Mobile,Organic,0,0,1,0
283,10,1,128,Paid,Books,5.0,Mobile,Organic,0,0,0,0
284,280,44,119,Paid,Books,5.64,Desktop,Paid,0,1,1,0
285,5,1,60,Free,Electronics,1.76,Mobile,Organic,0,0,0,0
286,29,5,120,Free,Electronics,3.69,Desktop,Organic,1,0,0,0
287,60,6,65,Paid,Books,4.92,Mobile,Organic,0,0,0,1
288,44,7,123,Paid,Fashion,4.64,Mobile,Referral,0,1,0,0
289,18,2,145,Paid,Electronics,3.9,Mobile,Paid,0,0,1,0
290,27,4,94,Free,Fashion,0.6,Mobile,Paid,1,1,1,0
291,21,3,60,Paid,Electronics,4.48,Desktop,Organic,0,0,0,0
292,19,2,97,Free,Electronics,4.75,Desktop,Paid,1,0,0,0
293,78,12,92,Free,Sports,4.48,Desktop,Organic,0,0,0,0
294,48,3,107,Paid,Books,4.71,Desktop,Paid,1,0,0,0
295,17,1,60,Free,Groceries,2.87,Mobile,Paid,0,0,1,0
296,82,10,146,Free,Fashion,5.97,Mobile,Organic,0,0,1,0
297,46,2,155,Free,Fashion,4.74,Mobile,Organic,1,1,1,0
298,75,13,110,Free,Groceries,3.68,Mobile,Organic,1,0,1,0
299,63,6,223,Paid,Books,5.64,Mobile,Paid,0,1,0,0
300,15,2,127,Paid,Fashion,5.5,Mobile,Paid,1,1,0,0
301,19,3,110,Free,Electronics,4.98,Mobile,Paid,0,0,0,1
302,70,9,122,Free,Books,3.6,Mobile,Paid,1,0,1,0
303,61,10,241,Paid,Groceries,3.4,Mobile,Paid,0,0,0,0
304,33,5,181,Paid,Fashion,2.31,Mobile,Paid,1,1,0,0
305,38,3,73,Free,Books,1.88,Desktop,Organic,0,0,0,0
306,119,20,60,Paid,Groceries,3.32,Mobile,Organic,0,0,0,0
307,19,2,111,Paid,Sports,3.68,Mobile,Organic,0,0,0,0
308,58,4,228,Free,Groceries,1.84,Desktop,Paid,1,0,1,0
309,28,4,211,Free,Electronics,5.57,Mobile,Referral,1,0,0,1
310,27,4,149,Free,Groceries,3.57,Mobile,Paid,0,1,0,0
311,100,9,83,Paid,Groceries,3.4,Desktop,Organic,1,0,0,0
312,76,13,186,Free,Groceries,2.9,Mobile,Organic,0,0,1,0
313,75,7,60,Free,Groceries,0.82,Mobile,Organic,0,0,1,0
314,123,16,91,Free,Sports,5.35,Mobile,Organic,1,0,1,0
315,34,3,195,Paid,Fashion,2.24,Mobile,Paid,0,1,0,0
316,66,10,60,Free,Fashion,4.03,Mobile,Organic,0,0,0,0
317,25,3,277,Paid,Groceries,3.84,Mobile,Organic,0,0,0,0
318,46,5,269,Paid,Electronics,3.71,Desktop,Paid,1,0,0,0
319,30,1,129,Free,Fashion,3.39,Mobile,Organic,0,0,0,0
320,37,5,205,Free,Electronics,1.5,Mobile,Paid,1,0,0,0
321,61,8,94,Free,Groceries,2.04,Mobile,Paid,0,0,1,0
322,15,1,62,Paid,Fashion,3.38,Desktop,Paid,1,1,0,0
323,269,26,303,Free,Groceries,4.84,Mobile,Organic,1,0,1,0
324,13,2,251,Free,Fashion,2.88,Mobile,Organic,0,0,1,0
325,10,1,206,Free,Fashion,1.62,Mobile,Paid,0,1,0,1
326,106,12,60,Free,Electronics,0.98,Mobile,Organic,0,0,0,0
327,74,14,120,Paid,Fashion,4.15,Mobile,Referral,0,0,0,0
328,62,10,348,Paid,Groceries,2.83,Mobile,Organic,0,0,1,0
329,63,4,183,Paid,Sports,1.19,Mobile,Paid,0,1,0,0
330,33,5,125,Free,Groceries,4.21,Mobile,Organic,0,0,1,0
331,14,1,123,Free,Fashion,1.64,Mobile,Organic,0,0,0,0
332,36,2,123,Paid,Books,3.3,Mobile,Referral,0,1,0,0
333,17,1,60,Free,Fashion,2.18,Mobile,Paid,1,0,0,0
334,88,10,163,Paid,Electronics,5.62,Mobile,Paid,1,0,0,0
335,29,4,178,Free,Books,1.76,Desktop,Organic,0,0,0,0
336,15,2,60,Free,Groceries,2.81,Mobile,Referral,0,0,0,1
337,25,1,143,Paid,Fashion,5.78,Desktop,Paid,0,1,0,0
338,51,3,101,Paid,Electronics,2.25,Mobile,Organic,0,1,0,0
339,19,2,60,Paid,Sports,4.05,Mobile,Organic,0,0,0,0
340,15,1,60,Free,Electronics,2.24,Desktop,Organic,0,0,0,0
341,43,2,83,Free,Sports,1.11,Mobile,Organic,1,0,0,0
342,43,8,124,Free,Sports,3.95,Mobile,Referral,0,0,0,0
343,20,3,178,Paid,Books,5.54,Mobile,Organic,0,0,0,0
344,21,2,211,Paid,Electronics,2.99,Mobile,Organic,0,1,0,0
345,42,5,136,Free,Groceries,3.94,Desktop,Organic,0,0,0,0
346,8,1,60,Paid,Fashion,3.85,Mobile,Organic,0,1,0,0
347,9,1,293,Paid,Electronics,2.78,Desktop,Organic,0,0,0,0
348,17,2,138,Paid,Groceries,3.88,Desktop,Organic,0,0,0,0
349,27,2,91,Free,Electronics,1.93,Mobile,Organic,0,0,1,0
350,46,6,129,Free,Fashion,2.58,Mobile,Paid,0,0,0,0
351,145,17,256,Paid,Groceries,2.93,Mobile,Organic,0,0,0,0
352,79,11,313,Free,Groceries,5.25,Mobile,Referral,0,0,0,0
353,29,2,102,Paid,Fashion,2.42,Mobile,Organic,0,0,0,0
354,33,2,365,Paid,Electronics,3.99,Mobile,Paid,0,0,0,1
355,13,1,245,Paid,Fashion,1.67,Mobile,Referral,1,1,0,0
356,33,4,77,Free,Electronics,1.89,Mobile,Paid,1,0,0,0
357,25,4,169,Free,Groceries,4.07,Mobile,Paid,1,0,0,0
358,46,5,76,Free,Groceries,4.69,Mobile,Organic,0,0,1,0
359,15,1,174,Free,Groceries,3.04,Mobile,Paid,0,0,1,0
360,56,2,159,Free,Fashion,2.34,Desktop,Organic,0,0,1,0
361,154,19,102,Free,Fashion,5.51,Desktop,Paid,0,0,0,0
362,30,5,334,Free,Fashion,1.25,Mobile,Organic,0,1,1,1
363,50,9,135,Free,Electronics,4.46,Desktop,Paid,1,0,0,0
364,67,4,365,Free,Fashion,4.3,Mobile,Referral,0,0,0,0
365,23,3,85,Free,Electronics,4.3,Desktop,Organic,0,0,1,0
366,42,3,176,Free,Fashion,5.64,Mobile,Organic,1,0,0,0
367,34,5,213,Paid,Groceries,4.51,Mobile,Paid,0,1,0,0
368,37,6,65,Free,Groceries,2.16,Mobile,Referral,0,0,0,1
369,16,1,91,Free,Books,2.44,Mobile,Paid,1,0,0,0
370,34,2,106,Paid,Fashion,2.65,Desktop,Organic,0,1,0,0
371,55,3,150,Paid,Sports,0.67,Mobile,Referral,0,1,0,0
